url,类型
https://cn.bing.com/search?q=bird&form=QBLHCN&sp=-1&lq=0&pq=bird&sc=17-4&qs=n&sk=&cvid=132087CA760448328CD98D25EBFDB265,鸟
https://cn.bing.com/search?q=flower&qs=n&form=QBRE&sp=-1&lq=0&pq=flower&sc=12-6&sk=&cvid=06756BEB71CC4F018ABD18EA5F839E77,花
https://cn.bing.com/search?q=restaurant&qs=n&form=QBRE&sp=-1&ghc=1&lq=0&pq=restaurant&sc=12-10&sk=&cvid=971D47243EC94878848B44AFEFEFEF92,餐厅
https://cn.bing.com/search?q=weather&qs=n&form=QBRE&sp=-1&lq=0&pq=weather&sc=15-7&sk=&cvid=E2F58EE1FB074413BA1DDF347F521A09,天气
https://cn.bing.com/search?q=computer&qs=n&form=QBRE&sp=-1&lq=0&pq=computer&sc=12-8&sk=&cvid=0DAD7E2BE4B947588412F83A97FFD88A,电脑
https://cn.bing.com/search?q=work&qs=n&form=QBRE&sp=-1&lq=0&pq=work&sc=15-4&sk=&cvid=4895361FB127479087C381FDD61AB972,工作
https://cn.bing.com/search?q=plant&qs=n&form=QBRE&sp=-1&lq=0&pq=plant&sc=15-5&sk=&cvid=5B2685C6FCC2432EB005CCA51D6355A7,植物
https://cn.bing.com/search?q=car&qs=n&form=QBRE&sp=-1&lq=0&pq=car&sc=17-3&sk=&cvid=0772BBB1D8A2439BBB00A6CA5932AEEB,汽车
https://cn.bing.com/search?q=ocean&qs=n&form=QBRE&sp=-1&lq=0&pq=ocean&sc=22-5&sk=&cvid=E01F882AB27C4B409121C3F364829E99,海洋
https://cn.bing.com/search?q=building&qs=n&form=QBRE&sp=-1&lq=0&pq=building&sc=12-8&sk=&cvid=834525E9804B4EAEA1EC476E439DC5CD,建筑
