url,类型
https://www.google.com/search?q=%E6%B1%BD%E8%BD%A6,汽车
https://www.google.com/search?q=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD,人工智能
https://www.google.com/search?q=%E8%87%AA%E7%84%B6%E7%81%BE%E5%AE%B3,自然灾害
https://www.google.com/search?q=Cat,猫
https://www.google.com/search?q=Coffee,咖啡
https://www.google.com/search?q=B2C,电商
https://www.google.com/search?q=forum,论坛
https://www.google.com/search?q=%E6%99%AF%E7%82%B9,景点
https://www.google.com/search?q=news,新闻
https://www.google.com/search?q=%E5%A4%A9%E6%B0%94,天气
